company_id,review_date,rating,sentiment_score
SME-00001,2023-06-07,2,-0.15624978686499696
SME-00001,2022-11-10,4,0.6430881980961747
SME-00001,2023-01-14,4,-0.13035405637688852
SME-00001,2023-03-11,3,0.024627205803961827
SME-00001,2023-04-12,4,0.3326293368262574
SME-00001,2022-11-12,3,0.5341684386361204
SME-00001,2022-12-09,3,-0.25743324279653707
SME-00001,2022-10-29,4,0.19563300627991734
SME-00001,2022-12-04,4,0.5885319044134523
SME-00001,2022-08-04,3,0.470776546328637
SME-00002,2022-09-18,3,-0.45219790271628585
SME-00002,2022-05-13,1,0.5273237404374185
SME-00002,2023-02-25,3,0.4447454550449598
SME-00002,2022-09-16,5,0.07047033135410793
SME-00002,2023-05-27,3,-0.0625491539393655
SME-00002,2022-11-01,3,0.24077466057709723
SME-00002,2022-03-31,3,-0.1505962635155092
SME-00002,2023-01-31,4,-0.016682960580226558
SME-00002,2022-04-26,3,0.1123636018498258
SME-00002,2022-03-11,3,0.13470263529083615
SME-00002,2023-06-23,2,1.0
SME-00002,2023-06-03,5,0.37778413017255913
SME-00002,2022-01-01,4,0.7075797035143633
SME-00002,2023-04-29,3,1.0
SME-00002,2022-11-24,3,0.39865946327353263
SME-00002,2022-08-29,3,-0.25054097424395544
SME-00002,2022-02-24,4,0.3121744105479519
SME-00002,2022-04-23,4,0.5405147961639425
SME-00002,2022-12-17,5,0.6599764426169396
SME-00002,2022-03-11,3,-0.19564270025565605
SME-00002,2022-02-25,3,0.4777411903705784
SME-00003,2022-08-12,2,-0.5214860486717456
SME-00003,2022-03-10,3,0.18486410959117472
SME-00003,2022-07-27,3,0.30146416319396147
SME-00003,2022-01-28,4,0.09103178492252406
SME-00003,2022-11-30,4,0.5338251811366719
SME-00003,2023-05-26,4,0.10103220721217929
SME-00003,2022-11-03,3,0.13573167143190903
SME-00003,2022-05-02,4,0.48127359848895285
SME-00003,2023-01-13,4,-0.12232443647331698
SME-00003,2023-04-13,3,0.4556162774760283
SME-00003,2022-09-10,4,0.7352784843706922
SME-00004,2022-08-10,5,0.6180825725271057
SME-00004,2023-05-01,2,0.3750261675661867
SME-00004,2022-06-12,4,0.22385792530986726
SME-00004,2022-07-16,4,-0.1132521755642425
SME-00004,2023-02-18,2,-0.21117293847067148
SME-00004,2022-11-24,3,0.7484233950905225
SME-00004,2022-09-25,3,1.0
SME-00004,2023-04-28,3,0.9726028095633403
SME-00004,2023-05-02,3,0.5098244272090792
SME-00004,2023-04-19,4,0.885152416458594
SME-00004,2022-02-07,4,-0.581855707947341
SME-00004,2022-11-01,3,0.4503778075722973
SME-00004,2023-01-29,2,1.0
SME-00004,2022-03-20,4,0.3082871810627104
SME-00004,2022-01-08,4,0.07188749510107392
SME-00004,2023-06-07,3,0.13107597001319443
SME-00005,2022-11-11,3,0.455027334011801
SME-00005,2022-02-15,5,0.8427881009625684
SME-00005,2022-12-30,3,0.938541069992745
SME-00005,2022-11-27,4,0.08741329911881726
SME-00005,2022-11-30,3,0.23921279004847223
SME-00005,2022-07-09,3,0.08119009563953841
SME-00005,2022-11-01,4,0.6718157881411588
SME-00005,2022-05-08,4,-0.08056983552379982
SME-00005,2022-11-15,4,-0.6010478935982526
SME-00005,2022-10-19,4,0.06346261227411396
SME-00005,2022-10-17,3,0.6596546914420778
SME-00005,2022-10-26,3,-0.2565921831597669
SME-00005,2022-07-12,3,-0.16780450356260057
SME-00005,2022-03-09,5,0.6931475211582054
SME-00005,2022-11-24,3,0.25965998663235385
SME-00006,2022-05-17,4,0.03616192309656813
SME-00006,2022-10-26,3,0.05533698417885052
SME-00006,2022-02-21,3,-0.13518718428856752
SME-00006,2022-12-09,4,0.5290025407096081
SME-00006,2022-08-03,4,0.29850880073029107
SME-00006,2023-02-05,4,-0.7386157658265953
SME-00006,2022-01-31,4,0.39131810165331793
SME-00006,2022-08-31,3,0.046077039124412966
SME-00006,2022-03-24,3,0.2605050506595966
SME-00006,2022-04-10,3,0.6494123782602874
SME-00006,2023-03-22,2,0.0318645277496562
SME-00006,2022-09-11,3,-0.4420639436890285
SME-00007,2022-08-21,4,0.18243431002038524
SME-00007,2022-04-13,4,-0.443366341123086
SME-00007,2023-04-04,3,-0.38973390982133
SME-00007,2022-02-07,3,0.3281939584261675
SME-00007,2022-09-28,2,0.8293815995236478
SME-00007,2022-03-24,4,-0.17474208902004007
SME-00008,2023-02-22,2,0.9039466986124707
SME-00008,2022-06-23,3,0.18500497397270166
SME-00008,2022-02-03,3,0.2459205781820121
SME-00008,2023-01-12,3,0.07866835545376108
SME-00008,2023-01-22,3,-0.04156365199730078
SME-00008,2022-09-14,2,0.673869704574068
SME-00008,2022-06-26,2,0.19924584906785836
SME-00008,2022-11-17,3,0.2009003716089331
SME-00008,2022-04-11,3,0.15009856455419787
SME-00008,2022-05-20,3,0.18098769635977013
SME-00008,2023-04-19,4,0.25422595076691695
SME-00009,2022-06-09,2,0.22545664659041814
SME-00009,2023-06-05,4,-0.2885579357937394
SME-00009,2023-06-20,4,0.24149552738382327
SME-00009,2022-03-30,3,0.7024043960314672
SME-00009,2022-10-04,4,0.18122813922436998
SME-00009,2023-04-15,4,0.4009578892952763
SME-00009,2022-08-28,4,0.22657219885859475
