company_id,defaulted,n_transactions,total_volume,total_inflow,total_outflow,mean_txn,median_txn,std_txn,cv_txn,skewness,kurtosis,max_daily_volume,min_daily_volume,active_days,active_days_ratio,top_5_concentration,days_since_last_txn,mean_daily_inflow,mean_daily_outflow,cv_daily_net
SME-00001,0,1493,-189698.40999999997,913649.5900000001,-1103348.0,-127.0585465505693,-452.84,1745.4740177163583,13.737556938144728,0.011970448322901716,2.935541920340704,9242.03,-10761.28,509,0.9339449541284404,0.02163667929816416,0,2559.242549019608,2519.0593607305937,7.527306476793921
SME-00002,0,1552,-335474.91,880361.82,-1215836.73,-216.1565141752577,-484.225,1718.5267756237265,7.9503816120496875,0.015289314634909035,2.535283835859179,9001.48,-14220.279999999999,511,0.9376146788990826,0.019849818138649125,0,2418.5764285714286,2672.168637362637,4.4147946524111745
SME-00003,0,780,-277063.38,597190.05,-874253.4299999999,-355.20946153846154,-664.725,2417.920546872011,6.8070274265771555,-0.12622976299550887,2.907628404711134,12706.550000000001,-10712.13,419,0.7688073394495413,0.037585235689786736,0,2654.1780000000003,2715.072763975155,4.83481758977791
SME-00004,0,828,-276061.64,610858.04,-886919.6799999999,-333.40777777777777,-693.4200000000001,2283.030766263472,6.847563009718245,0.1732460925136365,1.770742083444567,10512.06,-13972.470000000001,428,0.7867647058823529,0.030684112459624515,0,2802.1011009174313,2608.5872941176467,5.235005735211108
SME-00005,0,1473,-170443.7,415218.2,-585661.9,-115.71194840461644,-238.89,938.27088863678,8.108677639372866,-2.320183318999377,36.7667338685664,5170.420000000001,-12995.56,513,0.9412844036697248,0.03120263855780528,0,1210.5486880466472,1292.8518763796908,4.776340938136317
SME-00006,1,2777,-324000.06999999995,615088.24,-939088.31,-116.67269355419516,-146.9,869.2255580733598,7.450119917473229,-0.7712066336711998,19.816549393934363,4943.099999999999,-10156.51,541,0.9926605504587156,0.02311389269127757,0,1404.3110502283105,1792.1532633587785,3.268510560448515
SME-00007,0,1584,-348739.37,895893.11,-1244632.48,-220.16374368686868,-469.68,1787.78344511803,8.120244574241674,-0.1573349635985415,4.809766200969131,16564.28,-14993.42,492,0.9027522935779817,0.02382626035318737,0,2604.3404360465115,2908.0198130841122,4.627566158122514
SME-00008,0,1433,-163645.21999999997,394506.69999999995,-558151.92,-114.19764131193298,-248.87,894.6724273061413,7.834421245727195,-0.39305913677580595,7.298235716308447,6824.99,-11140.36,512,0.9394495412844037,0.02965581731680547,0,1213.866769230769,1240.3375999999998,4.706818070304858
SME-00009,0,1486,-121592.52,455412.06,-577004.5800000001,-81.82538358008075,-224.57,931.5541262867334,11.384659448312165,-0.5997998211877392,6.7906361912460085,5684.28,-10063.35,511,0.9376146788990826,0.0254902613735478,0,1327.7319533527698,1279.3893126385808,6.789557398448937
SME-00010,0,4654,-274600.04000000004,492666.39,-767266.4299999999,-59.00301675977654,-104.03,348.2303875596022,5.901908185091264,-0.33563813770422357,3.7053495591695533,4531.02,-5283.05,545,1.0,0.008995828841096464,0,993.2790120967742,1407.8283119266055,2.2088099806738932
SME-00011,0,1317,-121181.83999999998,321703.4,-442885.24000000005,-92.01354593773726,-219.44,735.4697366103595,7.993059381800472,-0.06282091288571333,2.7850794844125923,4331.35,-3974.62,509,0.9356617647058824,0.024407385911462142,1,1018.0487341772152,1015.7918348623855,4.977440906822897
SME-00012,0,1500,-310365.61,860872.26,-1171237.87,-206.91040666666666,-468.43,1807.9752861990783,8.73796207414416,0.9258408433994919,12.166985025133744,19965.12,-10208.869999999999,489,0.8988970588235294,0.02728455470078287,0,2640.71245398773,2667.967813211845,4.881631327531048
SME-00013,0,1563,-399191.0,833980.8200000001,-1233171.8199999998,-255.40051183621242,-472.16,1739.9023915062041,6.812446768399581,-0.7503283958276501,7.665899641879756,12211.91,-12983.859999999999,513,0.9412844036697248,0.027323787758604997,0,2382.8023428571432,2698.4066083150983,3.878682203936989
SME-00014,0,850,-167644.84000000003,683856.3099999999,-851501.1500000001,-197.2292235294118,-642.085,2277.3132026400312,11.546530285358179,0.5079575781850599,3.4282043006860405,16093.619999999999,-12455.59,424,0.7779816513761468,0.03195074845958023,0,3025.9128761061947,2468.119275362319,8.489358191375148
SME-00015,0,1279,-152287.18,305452.58,-457739.76,-119.06738076622361,-217.88,876.3989649351363,7.360529469073098,-4.885078510114712,86.036720376342,4061.5,-17844.61,486,0.8917431192660551,0.04024355118658554,0,1001.4838688524591,1079.5749056603775,4.7004447598695265
SME-00016,0,3155,-201284.49,567753.36,-769037.85,-63.7985705229794,-157.47,565.1254049611321,8.85796343599237,0.9154874946814164,18.78390885610889,11439.03,-6829.3,545,1.0,0.018517237258015785,0,1195.2702315789472,1453.75775047259,3.876783703701324
SME-00017,0,3112,-184457.25,570867.06,-755324.31,-59.27289524421594,-151.03,543.7872260251349,9.1742983666417,0.08571426043558487,2.7068677467083004,3365.01,-4332.54,543,0.9963302752293578,0.011151844548649113,0,1227.6710967741935,1417.118780487805,3.6479284188644874
SME-00018,0,4688,-206730.63,530595.5900000001,-737326.22,-44.09783063139932,-96.4,349.7532013206126,7.93130175141938,-0.14294850662676167,3.7989594106992044,2892.4500000000003,-5042.73,545,1.0,0.009004088351473346,0,1056.963326693227,1360.380479704797,2.6781109834141494
SME-00019,0,1469,-138106.03999999998,441635.85000000003,-579741.8899999999,-94.01364193328794,-255.19,898.7818963696567,9.560122104485986,0.5976424883843378,5.8474806148308325,6711.700000000001,-7496.7,505,0.926605504587156,0.026080047524826615,0,1295.1197947214077,1338.8958198614318,5.543658137753615
SME-00020,0,1442,-204154.51,409959.32999999996,-614113.8400000001,-141.57733009708738,-255.20499999999998,926.8778096988614,6.546795373689066,-0.8379610325630812,5.708695646488895,4077.52,-8714.83,504,0.9247706422018349,0.02819321006134747,0,1227.4231437125748,1402.0863926940642,4.035710856053302
SME-00021,0,1249,-111318.64,275460.48,-386779.12,-89.1262129703763,-213.6,669.5457071791836,7.5123320610708175,-0.0037162108431558977,3.0472772293513923,3095.33,-4518.55,495,0.908256880733945,0.024979735431103784,0,930.6097297297297,893.2543187066974,4.437394012208132
SME-00022,0,1470,-123922.0,447687.51,-571609.51,-84.30068027210885,-250.23000000000002,912.2165207052527,10.820986470818106,0.6096854253515227,7.11798354209817,8520.55,-5323.82,506,0.9284403669724771,0.02478623944176743,0,1320.6121238938053,1299.1125227272728,6.556296761889878
SME-00023,1,2981,-253513.17,643442.85,-896956.02,-85.0429956390473,-144.75,774.1764987424706,9.103354049619215,-0.3202371174826516,13.32316873523407,7309.090000000001,-10242.099999999999,540,0.9908256880733946,0.019351682593742748,0,1469.047602739726,1715.0210707456977,3.802533349051268
SME-00024,0,1365,-153179.87,391949.99,-545129.8600000001,-112.21968498168498,-242.01,924.1829660948721,8.235479953857517,0.9655093388797683,18.127720170133454,11393.3,-8382.97,504,0.9247706422018349,0.031909970105535826,0,1187.7272424242426,1230.5414446952598,4.782715041701939
SME-00025,0,3219,-243767.55000000002,550892.69,-794660.24,-75.72772600186394,-160.18,524.4265639242499,6.925159272725841,-0.06489109153725683,2.1779380959363452,3673.71,-5539.63,544,0.998165137614679,0.010293240563936788,0,1159.774084210526,1513.6385523809524,2.8190781046003193
SME-00026,1,1129,-102274.02999999998,365251.87,-467525.89999999997,-90.58815766164746,-183.24,1150.2073192635244,12.697104665265652,-1.2627806950766458,18.821605259478968,11311.21,-13524.87,468,0.8587155963302753,0.0472306555445158,0,1263.8473010380624,1186.613959390863,8.380036678326453
SME-00027,1,1382,-346525.62,967938.7400000001,-1314464.3599999999,-250.74212735166424,-397.99,2647.019693423587,10.556740988765556,-2.592215020486584,37.32909642845453,19553.58,-37658.72,493,0.9045871559633027,0.047290796266443905,0,3015.3854828660437,3071.178411214953,5.988617208505527
